sim_time_s,case_id,lat_deg,lon_deg,alt_m,tas_mps,ground_speed_mps,actual_hdg_deg,actual_track_deg,target_hdg_deg,target_track_deg,bank_default_deg,bank_turnphi_deg,bank_limit_deg,observed_heading_rate_deg_s,equivalent_kinematic_bank_deg,active_waypoint_index,active_waypoint_name,active_waypoint_lat_deg,active_waypoint_lon_deg,active_waypoint_distance_m,guidance_distance_before_motion_m,turn_initiation_distance_m,native_turn_radius_m,active_leg_direction_deg,flyby,flyturn,lnav,nominal_corner_distance_m,nominal_endpoint_distance_m,accepted_endpoint_distance_m,outside_corridor,capture_waypoint_name,capture_waypoint_active,accepted_action_index,target_speed_mps,nominal_speed_mps,target_alt_m,target_lane_m,altitude_active,lane_active,nominal_waypoint_index,actual_cross_track_m,lane_error_m,lane_track_error_deg,centerline_distance_m,capture_beyond_leg_end,final_nominal_active,lane_commands,lane_captures,route_rebuilds,on_parallel_segment,arm,aircraft_type,turn,decision_time_s,proposed_action,phase,trigger_has_occurred,active_wp_nominal_mapping,along_first_leg_m,instantaneous_bank_radius_m,active_wp_qdr_deg,swlastwp,native_idxreached,native_turnspd_mps
0.0,refresh-amzn-north-s0-l1,0.0,0.0,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,null,null,0,F0P0,0.0,0.04163859035404016,4630.0000000003265,-999.0,1422.9081332617247,1422.908133261725,90.0,True,False,True,4630.0000000003265,6547.808505609175,6547.808505609175,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,0.0,0.0,0.0,0.0,False,False,0,0,0,True,refresh,Amzn,north,null,null,before_native_first_leg_advance,False,1,0.0,1422.908133261725,90.0,False,null,80.66498226127314
0.25,refresh-amzn-north-s0-l1,1.1105060647834446e-20,0.00018135940347153518,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4609.833754435009,4635.186675561463,1422.9081332617247,1422.908133261725,90.0,True,False,True,4609.833754435009,6533.564379605996,6533.564379605996,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-1.086930475757224e-22,-1.086930475757224e-22,0.0,1.0869304737850718e-22,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,20.166245565318285,1422.908133261725,90.0,False,False,80.66498226127314
0.5,refresh-amzn-north-s0-l1,2.2210121295668892e-20,0.00036271880694307035,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4589.66750886969,4614.99783911644,1422.9081332617247,1422.908133261725,90.0,True,False,True,4589.66750886969,6519.351511735039,6519.351511735039,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-2.173860951514448e-22,-2.173860951514448e-22,0.0,2.1738609475701436e-22,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,40.33249113063657,1422.908133261725,90.0,False,False,80.66498226127314
0.75,refresh-amzn-north-s0-l1,3.331518194350334e-20,0.0005440782104146056,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4569.501263304372,4594.809002671418,1422.9081332617247,1422.908133261725,90.0,True,False,True,4569.501263304372,6505.170106879972,6505.170106879972,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-3.260791427271672e-22,-3.260791427271672e-22,0.0,7.10542735760101e-15,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,60.498736695954854,1422.908133261725,90.0,False,False,80.66498226127314
1.0,refresh-amzn-north-s0-l1,4.4420242591337784e-20,0.0007254376138861407,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4549.335017739054,4574.620166226396,1422.9081332617247,1422.908133261725,90.0,True,False,True,4549.335017739054,6491.0203712594275,6491.0203712594275,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-4.347721903028896e-22,-4.347721903028896e-22,0.0,4.347721895140287e-22,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,80.66498226127314,1422.908133261725,90.0,False,False,80.66498226127314
1.25,refresh-amzn-north-s0-l1,5.552530323917222e-20,0.0009067970173576758,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4529.168772173735,4554.43132978137,1422.9081332617247,1422.908133261725,90.0,True,False,True,4529.168772173735,6476.902512431551,6476.902512431551,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-5.43465237878612e-22,-5.43465237878612e-22,0.0,1.4210854715202013e-14,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,100.83122782659142,1422.908133261725,90.0,False,False,80.66498226127314
1.5,refresh-amzn-north-s0-l1,6.663036388700666e-20,0.001088156420829211,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4509.002526608417,4534.242493336347,1422.9081332617247,1422.908133261725,90.0,True,False,True,4509.002526608417,6462.8167392984815,6462.8167392984815,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-6.521582838766126e-22,-6.521582838766126e-22,0.0,6.521582854543344e-22,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,120.9974733919097,1422.908133261725,90.0,False,False,80.66498226127314
1.75,refresh-amzn-north-s0-l1,7.77354245348411e-20,0.001269515824300746,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4488.836281043099,4514.053656891325,1422.9081332617247,1422.908133261725,90.0,True,False,True,4488.836281043099,6448.76326211068,6448.76326211068,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-7.608513322411959e-22,-7.608513322411959e-22,0.0,2.842170943040402e-14,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,141.16371895722796,1422.908133261725,90.0,False,False,80.66498226127314
2.0,refresh-amzn-north-s0-l1,8.884048518267554e-20,0.0014508752277722812,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4468.67003547778,4493.8648204463025,1422.9081332617247,1422.908133261725,90.0,True,False,True,4468.67003547778,6434.742292471183,6434.742292471183,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-8.695443806057792e-22,-8.695443806057792e-22,0.0,2.842170943040402e-14,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,161.32996452254625,1422.908133261725,90.0,False,False,80.66498226127314
2.25,refresh-amzn-north-s0-l1,9.994554583050998e-20,0.0016322346312438163,106.68,80.66498226127314,80.66498226127314,90.0,90.0,90.0,90.0,25.0,25.0,25.0,0.0,0.0,0,F0P0,0.0,0.04163859035404016,4448.503789912462,4473.675984001278,1422.9081332617247,1422.908133261725,90.0,True,False,True,4448.503789912462,6420.754043339726,6420.754043339726,False,null,False,37,80.6648888888889,80.6648888888889,106.68,0.0,False,False,1,-9.782374273926407e-22,-9.782374273926407e-22,0.0,2.8421709430404026e-14,False,False,0,0,0,True,refresh,Amzn,north,0.0,null,before_native_first_leg_advance,False,1,181.4962100878645,1422.908133261725,90.0,False,False,80.66498226127314
